D 2016-10-05_seq1
T 10:22 UTC
S 1919.2
L 203.6
B 6.5
P 26.2
r 413.6
N 0.3654187198437197
A1 318.6159639665426
A2 319.42366828619276
R1 343.03218086659945
R2 346.2124968315025
I1 55.653763064057145
I2 56.41234518419281
Dr 0.6
DR1 0.520390340653993
DA1 0.051961486881185674
DR2 0.6000468770937594
DA2 0.13026868801642888
K1 22.149262401015342
K2 22.918260163471622
DI1 1.7164092663714672
DI2 4.557413439996985
DK1 2.3505450333628164
DK2 5.928927864401291
